sep=,
"Time","Transfer_ID","Error Message","Detailed Description"
2026-04-24 14:41:10,01KPZYZM641RQMSFZA8T7CS98V,Payee or Payee FSP rejected the request.,Payee or Payee FSP rejected the request.
2026-04-24 13:44:14,01KPZVQ4MF1ZB6TQ6QWWVV2P2P,Generic error due to the Payer or Payer FSP.,Generic error due to the Payer or Payer FSP.
2026-04-24 13:43:16,01KPZVNBZD1ZE23010WDEPFGZY,Payee or Payee FSP rejected the request.,Payee or Payee FSP rejected the request.
2026-04-24 13:54:52,01KPZWAMKYC5EG31SGQQGEED47,Payee or Payee FSP rejected the request.,Payee or Payee FSP rejected the request.
2026-04-24 13:44:24,01KPZVPNGHYSNJHKZRB4YZZW29,Generic error due to the Payer or Payer FSP.,Generic error due to the Payer or Payer FSP.
2026-04-24 13:18:52,01KPZT8Y0HQ0RVG0S5KNA7QXJE,Payee or Payee FSP rejected the request.,Payee or Payee FSP rejected the request.
2026-04-24 11:05:38,01KPZJM0RYXGKFG2GSKC3FB02T,Payee or Payee FSP rejected the request.,Payee or Payee FSP rejected the request.
2026-04-24 09:32:52,01KPZDAVHG6Y0WQ0TQBTD8GCPH,Generic error due to the Payer or Payer FSP.,Generic error due to the Payer or Payer FSP.
2026-04-24 09:26:59,01KPZD034NG61YB3PFKHXHFTBE,Payee or Payee FSP rejected the request.,Payee or Payee FSP rejected the request.